feature_set,classifier,best_params,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_pr_auc
f_11,SVM,"{'classifier__C': 0.1, 'classifier__gamma': 0.001, 'classifier__kernel': 'poly'}",0.8079443079443079,0.5786120564296285,0.055416820816376854,0.10074184650471396,0.7160651855003277,0.8060923681624631,0.532258064516129,0.05536912751677853,0.10030395136778116,0.3860179851419041
f_11,RF,"{'classifier__bootstrap': False, 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 200}",0.7957411957411958,0.4685296038354229,0.34719139228018253,0.39872703374808205,0.7318228654366188,0.8028169014084507,0.4928909952606635,0.348993288590604,0.4086444007858546,0.4844861969534752
f_11,DT,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2}",0.7597870597870597,0.389822194859017,0.40533137783415246,0.39487456891155615,0.693516490231613,0.7674418604651163,0.40716612377850164,0.41946308724832215,0.4132231404958678,0.46998018035782724
f_11,KNN,"{'classifier__algorithm': 'auto', 'classifier__n_neighbors': 9, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.6943079443079443,0.3340219168695785,0.5703182530873985,0.42126776276119154,0.6966469679067271,0.69210612512283,0.33365570599613154,0.5788590604026845,0.4233128834355828,0.4973644909622642
f_11,MLP,"{'classifier__activation': 'logistic', 'classifier__alpha': 0.001, 'classifier__early_stopping': True, 'classifier__hidden_layer_sizes': (100,), 'classifier__learning_rate': 'constant', 'classifier__max_iter': 200, 'classifier__n_iter_no_change': 5, 'classifier__random_state': 42, 'classifier__solver': 'adam', 'classifier__validation_fraction': 0.1}",0.6827190827190828,0.34356745676026,0.6866008667617991,0.4577437954504736,0.7515507041746516,0.666557484441533,0.336687306501548,0.7298657718120806,0.4608050847457627,0.5596440465266145
f_12,SVM,"{'classifier__C': 0.1, 'classifier__gamma': 0.001, 'classifier__kernel': 'poly'}",0.8092956592956593,0.7492099401730131,0.03358481757482868,0.06409190765513043,0.7243985796096434,0.8070750081886668,0.6521739130434783,0.025167785234899327,0.048465266558966075,0.43382315834325036
f_12,RF,"{'classifier__bootstrap': False, 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 200}",0.7966011466011466,0.4722286049012361,0.3614696192942586,0.40929657376349127,0.7484729722733404,0.8051097281362594,0.5011494252873563,0.36577181208053694,0.42289039767216297,0.4953669403347818
f_12,DT,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2}",0.7631040131040131,0.39412691847893616,0.3893742402621426,0.38994665571788417,0.6942618366254976,0.7854569276121848,0.4460694698354662,0.40939597315436244,0.42694663167104113,0.48538093636553337
f_12,KNN,"{'classifier__algorithm': 'auto', 'classifier__n_neighbors': 9, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.7017199017199018,0.3436208305169441,0.5812333738526856,0.43188804421484617,0.7106718606296916,0.7107762856207009,0.35692921236291125,0.6006711409395973,0.44777986241400874,0.5177782310240023
f_12,MLP,"{'classifier__activation': 'logistic', 'classifier__alpha': 0.001, 'classifier__early_stopping': True, 'classifier__hidden_layer_sizes': (100,), 'classifier__learning_rate': 'constant', 'classifier__max_iter': 200, 'classifier__n_iter_no_change': 5, 'classifier__random_state': 42, 'classifier__solver': 'adam', 'classifier__validation_fraction': 0.1}",0.7013104013104013,0.35917013125971725,0.6746414918168525,0.468486845973035,0.7610229202821722,0.7065181788404847,0.3704663212435233,0.7197986577181208,0.48916761687571264,0.572482636876826
f_13,SVM,"{'classifier__C': 0.1, 'classifier__gamma': 0.001, 'classifier__kernel': 'poly'}",0.809009009009009,0.8214838231943494,0.026446364709405777,0.05104925651369689,0.7445030862994614,0.8051097281362594,0.5384615384615384,0.01174496644295302,0.022988505747126436,0.37156574835791234
f_13,RF,"{'classifier__bootstrap': False, 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 200}",0.7992219492219492,0.48225818047151786,0.3954679985201628,0.4344346217590493,0.769816451246162,0.8054372748116606,0.5022026431718062,0.3825503355704698,0.4342857142857143,0.502645077644967
f_13,DT,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2}",0.7745290745290745,0.4216019104014224,0.4143623487130701,0.41717126597788357,0.7095635992409237,0.7782509007533573,0.43283582089552236,0.43791946308724833,0.4353628023352794,0.49024171012109385
f_13,KNN,"{'classifier__algorithm': 'auto', 'classifier__n_neighbors': 9, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.7073710073710073,0.35118630521810157,0.5898472596585804,0.4402325501995099,0.7268864671100477,0.7091385522436947,0.3562992125984252,0.6073825503355704,0.4491315136476427,0.5201638424889434
f_13,MLP,"{'classifier__activation': 'logistic', 'classifier__alpha': 0.001, 'classifier__early_stopping': True, 'classifier__hidden_layer_sizes': (100,), 'classifier__learning_rate': 'constant', 'classifier__max_iter': 200, 'classifier__n_iter_no_change': 5, 'classifier__random_state': 42, 'classifier__solver': 'adam', 'classifier__validation_fraction': 0.1}",0.7059377559377559,0.3669936085557773,0.6981400736395187,0.48083307476981607,0.7770678980871029,0.7238781526367507,0.3906111603188663,0.7399328859060402,0.5113043478260869,0.5906568904560496
f_14,SVM,"{'classifier__C': 0.1, 'classifier__gamma': 0.001, 'classifier__kernel': 'poly'}",0.8091728091728092,0.7816498839324926,0.029384458185790042,0.05643304645104545,0.7437047934048165,0.8070750081886668,0.6666666666666666,0.02348993288590604,0.04538087520259319,0.44039438231804856
f_14,RF,"{'classifier__bootstrap': False, 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 200}",0.8040540540540541,0.49775538542182246,0.38224239381287106,0.4321718132302904,0.7770576821068625,0.8116606616442843,0.5237020316027088,0.38926174496644295,0.4465832531280077,0.5160953832076024
f_14,DT,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2}",0.775020475020475,0.4211016198491591,0.4047152194211018,0.41189429201639066,0.7111125810061416,0.7785784474287586,0.43506493506493504,0.44966442953020136,0.44224422442244227,0.49608233706337235
f_14,KNN,"{'classifier__algorithm': 'auto', 'classifier__n_neighbors': 9, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.7127354627354627,0.3569661332690196,0.5877420150450117,0.4440592229816363,0.7271200120888613,0.7166721257779234,0.3606217616580311,0.5838926174496645,0.4458680333119795,0.5128729773036022
f_14,MLP,"{'classifier__activation': 'logistic', 'classifier__alpha': 0.001, 'classifier__early_stopping': True, 'classifier__hidden_layer_sizes': (100,), 'classifier__learning_rate': 'constant', 'classifier__max_iter': 200, 'classifier__n_iter_no_change': 5, 'classifier__random_state': 42, 'classifier__solver': 'adam', 'classifier__validation_fraction': 0.1}",0.704095004095004,0.3653873716290533,0.6991966597959939,0.47978847197387153,0.7770323419238854,0.7052079921388797,0.37375415282392027,0.7550335570469798,0.5,0.5883047622397409
f_15,SVM,"{'classifier__C': 0.1, 'classifier__gamma': 0.001, 'classifier__kernel': 'poly'}",0.8091728091728092,0.8018382583599974,0.02896473054630657,0.05575598692399776,0.7572661293131282,0.8074025548640681,0.7,0.02348993288590604,0.045454545454545456,0.45706104898471517
f_15,RF,"{'classifier__bootstrap': False, 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 200}",0.8107698607698607,0.5221514955154593,0.36314192343604107,0.42817540257858483,0.7812083822336795,0.8175565018015067,0.5467625899280576,0.3825503355704698,0.4501480750246792,0.5249250510230927
f_15,DT,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2}",0.7778050778050778,0.4266138549266113,0.4003056568539366,0.4121067963922031,0.710402241790767,0.7848018342613823,0.441233140655106,0.38422818791946306,0.41076233183856503,0.4728354792234129
f_15,KNN,"{'classifier__algorithm': 'auto', 'classifier__n_neighbors': 9, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.7170352170352171,0.36147843294083504,0.5871179289325793,0.4472931023119253,0.730668094856598,0.7173272191287259,0.36446700507614216,0.6023489932885906,0.4541429475015813,0.5222222802174139
f_15,MLP,"{'classifier__activation': 'logistic', 'classifier__alpha': 0.001, 'classifier__early_stopping': True, 'classifier__hidden_layer_sizes': (100,), 'classifier__learning_rate': 'constant', 'classifier__max_iter': 200, 'classifier__n_iter_no_change': 5, 'classifier__random_state': 42, 'classifier__solver': 'adam', 'classifier__validation_fraction': 0.1}",0.706961506961507,0.3680144104223174,0.6901661293448197,0.47929519577737417,0.7762941203663013,0.7264985260399607,0.38924930491195553,0.7046979865771812,0.5014925373134328,0.5757977531798779
f_16,SVM,"{'classifier__C': 0.1, 'classifier__gamma': 0.001, 'classifier__kernel': 'poly'}",0.8097051597051598,0.8205946781204219,0.031274774060567626,0.0600983327127913,0.786260010386585,0.8074025548640681,0.6666666666666666,0.026845637583892617,0.05161290322580645,0.4417446879916406
f_16,RF,"{'classifier__bootstrap': False, 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 200}",0.822972972972973,0.5626073047621614,0.41917974737064634,0.48008626390339615,0.8157923735492046,0.8316410088437602,0.5915178571428571,0.4446308724832215,0.5076628352490421,0.5722833395919453
f_16,DT,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2}",0.7911957411957412,0.46543751088955865,0.4622139421806459,0.462792089798294,0.7595182266504403,0.8054372748116606,0.5016611295681063,0.5067114093959731,0.5041736227045075,0.5523356307660228
f_16,KNN,"{'classifier__algorithm': 'auto', 'classifier__n_neighbors': 9, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.737960687960688,0.3927615021439034,0.6274126631784789,0.48305921079264313,0.7612972594150335,0.7382902063544055,0.3961105424769703,0.6493288590604027,0.49205340114431023,0.5569483283481166
f_16,MLP,"{'classifier__activation': 'logistic', 'classifier__alpha': 0.001, 'classifier__early_stopping': True, 'classifier__hidden_layer_sizes': (100,), 'classifier__learning_rate': 'constant', 'classifier__max_iter': 200, 'classifier__n_iter_no_change': 5, 'classifier__random_state': 42, 'classifier__solver': 'adam', 'classifier__validation_fraction': 0.1}",0.7360360360360361,0.4042379887036036,0.7430637034688089,0.5235232428129919,0.8129473767336594,0.7418932197838192,0.4135135135135135,0.7701342281879194,0.5381008206330598,0.6142608181157018
f_17,SVM,"{'classifier__C': 0.1, 'classifier__gamma': 0.001, 'classifier__kernel': 'poly'}",0.8088452088452088,0.8055188938741569,0.026656448743019222,0.05148660984797291,0.7943669618217657,0.8077301015394693,0.6956521739130435,0.026845637583892617,0.051696284329563816,0.456237441614829
f_17,RF,"{'classifier__bootstrap': False, 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 200}",0.8282555282555283,0.5817700280363709,0.4267352853090922,0.49212943506426726,0.8218248067183556,0.8368817556501802,0.6113636363636363,0.4513422818791946,0.5193050193050193,0.584906840549519
f_17,DT,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2}",0.7966011466011466,0.47792769040859734,0.45570133713862904,0.4661489048210511,0.7545144798838391,0.8103504749426793,0.5140495867768595,0.5218120805369127,0.517901748542881,0.5646062349015635
f_17,KNN,"{'classifier__algorithm': 'auto', 'classifier__n_neighbors': 9, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.7391072891072891,0.39503626049909857,0.6339243873650088,0.48670513921736064,0.7683356288504526,0.7405830330822142,0.3950749464668094,0.6191275167785235,0.4823529411764706,0.5442777792807078
f_17,MLP,"{'classifier__activation': 'logistic', 'classifier__alpha': 0.001, 'classifier__early_stopping': True, 'classifier__hidden_layer_sizes': (100,), 'classifier__learning_rate': 'constant', 'classifier__max_iter': 200, 'classifier__n_iter_no_change': 5, 'classifier__random_state': 42, 'classifier__solver': 'adam', 'classifier__validation_fraction': 0.1}",0.7447993447993447,0.41383021601360015,0.7336178496555854,0.5288621022796938,0.8178618640196931,0.7481166066164429,0.41968430826369546,0.7583892617449665,0.5403466826060969,0.6126201456332206
f_18,SVM,"{'classifier__C': 0.1, 'classifier__gamma': 0.001, 'classifier__kernel': 'poly'}",0.809009009009009,0.8158755492163422,0.027497665732959854,0.05314324961712631,0.814461181401543,0.8080576482148706,0.7272727272727273,0.026845637583892617,0.05177993527508091,0.47204771829467085
f_18,RF,"{'classifier__bootstrap': False, 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 200}",0.8347256347256348,0.5955549210521337,0.4769145394006659,0.529393345000608,0.8478753579614994,0.8404847690795938,0.6142557651991615,0.49161073825503354,0.5461323392357875,0.6025565730503861
f_18,DT,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2}",0.7972563472563472,0.4834239000212214,0.5623478322146468,0.5196977903342602,0.7989650382816811,0.8083851948902718,0.5082458770614693,0.5687919463087249,0.5368171021377672,0.5806086594741571
f_18,KNN,"{'classifier__algorithm': 'auto', 'classifier__n_neighbors': 9, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.7626535626535627,0.4296023843878296,0.6595308563677043,0.5202385055541867,0.7960254816463814,0.769734687192925,0.44216216216216214,0.6862416107382551,0.5378040762656148,0.5948275006002249
f_18,MLP,"{'classifier__activation': 'logistic', 'classifier__alpha': 0.001, 'classifier__early_stopping': True, 'classifier__hidden_layer_sizes': (100,), 'classifier__learning_rate': 'constant', 'classifier__max_iter': 200, 'classifier__n_iter_no_change': 5, 'classifier__random_state': 42, 'classifier__solver': 'adam', 'classifier__validation_fraction': 0.1}",0.7707207207207206,0.44824092604406235,0.7525152828426969,0.5616542845522884,0.8424250770995556,0.7638388470357026,0.4410933081998115,0.785234899328859,0.5648762824381413,0.6341270909900149
f_19,SVM,"{'classifier__C': 0.1, 'classifier__gamma': 0.001, 'classifier__kernel': 'poly'}",0.8095823095823096,0.7926587189899884,0.03232651551186512,0.062076651516605776,0.8290611185398188,0.8103504749426793,0.8695652173913043,0.03355704697986577,0.06462035541195477,0.5458945747011436
f_19,RF,"{'classifier__bootstrap': False, 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 200}",0.8368959868959868,0.5961562554352547,0.5100800697637544,0.5494044655563146,0.865716347297681,0.8437602358336063,0.6164383561643836,0.5285234899328859,0.5691056910569106,0.6185012309425096
f_19,DT,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2}",0.791973791973792,0.475411323707372,0.6154660606380917,0.5356138553027577,0.8147658973378602,0.811333114968883,0.5141242937853108,0.610738255033557,0.558282208588957,0.6004266887559783
f_19,KNN,"{'classifier__algorithm': 'auto', 'classifier__n_neighbors': 9, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.7764127764127764,0.45153744055239387,0.6786286841780738,0.5421979918990267,0.8187655190242247,0.7818539141827711,0.4611973392461197,0.697986577181208,0.5554072096128171,0.6090711589997758
f_19,MLP,"{'classifier__activation': 'logistic', 'classifier__alpha': 0.001, 'classifier__early_stopping': True, 'classifier__hidden_layer_sizes': (100,), 'classifier__learning_rate': 'constant', 'classifier__max_iter': 200, 'classifier__n_iter_no_change': 5, 'classifier__random_state': 42, 'classifier__solver': 'adam', 'classifier__validation_fraction': 0.1}",0.7715806715806715,0.4510782369133065,0.778959885841129,0.5711705479849687,0.8570321881707459,0.7658041270881101,0.4450600184672207,0.8087248322147651,0.5741512805241215,0.6455625858388638
f_20,SVM,"{'classifier__C': 0.1, 'classifier__gamma': 0.001, 'classifier__kernel': 'poly'}",0.8093775593775593,0.7912414142445103,0.03148706023289819,0.06048085667991272,0.823518929484657,0.8096953815918768,0.8,0.03355704697986577,0.0644122383252818,0.5111119660054914
f_20,RF,"{'classifier__bootstrap': False, 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 200}",0.8396396396396396,0.6040142298063708,0.5176369289854307,0.5572965098497242,0.8660027422598047,0.8424500491320013,0.6156941649899397,0.5134228187919463,0.5599268069533394,0.6120527598241234
f_20,DT,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2}",0.7947583947583947,0.4800529010451894,0.6072595704948646,0.5355474552877764,0.8135557664093558,0.8054372748116606,0.5013850415512465,0.6073825503355704,0.5493171471927162,0.5927067569653541
f_20,KNN,"{'classifier__algorithm': 'auto', 'classifier__n_neighbors': 9, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.7757575757575758,0.4505122135436202,0.678202350122439,0.5413147829870086,0.8184636578453359,0.7834916475597773,0.4644030668127054,0.7114093959731543,0.5619615639496355,0.616075245477437
f_20,MLP,"{'classifier__activation': 'logistic', 'classifier__alpha': 0.001, 'classifier__early_stopping': True, 'classifier__hidden_layer_sizes': (100,), 'classifier__learning_rate': 'constant', 'classifier__max_iter': 200, 'classifier__n_iter_no_change': 5, 'classifier__random_state': 42, 'classifier__solver': 'adam', 'classifier__validation_fraction': 0.1}",0.7688779688779689,0.44716032234351094,0.7747599668798337,0.5668252184896932,0.8574367557338916,0.7828365542089748,0.4663316582914573,0.7785234899328859,0.5832809553739786,0.6440456546886537
f_21,SVM,"{'classifier__C': 0.1, 'classifier__gamma': 0.001, 'classifier__kernel': 'poly'}",0.8092956592956593,0.8506977336389102,0.02728890298257668,0.05279880315628564,0.8270980986772793,0.8103504749426793,0.9047619047619048,0.031879194630872486,0.06158833063209076,0.5628177655496477
f_21,RF,"{'classifier__bootstrap': False, 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 200}",0.8404586404586404,0.606315468741051,0.5199474129274351,0.5595930300395145,0.868278065675851,0.8490009826400262,0.6336633663366337,0.5369127516778524,0.5812897366030881,0.6304895002126149
f_21,DT,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2}",0.7943488943488944,0.48170165814972155,0.5940392509204939,0.5297964860822757,0.8161356379850722,0.8175565018015067,0.5322314049586777,0.540268456375839,0.5362198168193172,0.5811238251972288
f_21,KNN,"{'classifier__algorithm': 'auto', 'classifier__n_neighbors': 9, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.7791973791973792,0.4563255392317743,0.683452248824058,0.5470776740830738,0.8195216659194842,0.7802161808057648,0.4591947769314472,0.7080536912751678,0.5570957095709571,0.6121207948632158
f_21,MLP,"{'classifier__activation': 'logistic', 'classifier__alpha': 0.001, 'classifier__early_stopping': True, 'classifier__hidden_layer_sizes': (100,), 'classifier__learning_rate': 'constant', 'classifier__max_iter': 200, 'classifier__n_iter_no_change': 5, 'classifier__random_state': 42, 'classifier__solver': 'adam', 'classifier__validation_fraction': 0.1}",0.7699017199017198,0.4489317798629499,0.779381375191586,0.5694854536825871,0.8586244645914227,0.7772682607271536,0.4591439688715953,0.7919463087248322,0.5812807881773399,0.6458530326730909
f_22,SVM,"{'classifier__C': 0.1, 'classifier__gamma': 0.001, 'classifier__kernel': 'poly'}",0.8092956592956593,0.8506977336389102,0.02728890298257668,0.05279880315628564,0.8270980986772793,0.8103504749426793,0.9047619047619048,0.031879194630872486,0.06158833063209076,0.5628177655496477
f_22,RF,"{'classifier__bootstrap': False, 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 200}",0.8387796887796887,0.6009066076272022,0.5176404524073781,0.5558712647771918,0.8677022926981145,0.84736324926302,0.6274509803921569,0.5369127516778524,0.5786618444846293,0.6273833072403764
f_22,DT,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2}",0.7939803439803439,0.48090464007306694,0.5940392509204939,0.5293368448289242,0.8148617544119221,0.8172289551261055,0.5314569536423841,0.5385906040268457,0.535,0.580061446702286
f_22,KNN,"{'classifier__algorithm': 'auto', 'classifier__n_neighbors': 9, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.7791973791973792,0.4563255392317743,0.683452248824058,0.5470776740830738,0.8195216659194842,0.7802161808057648,0.4591947769314472,0.7080536912751678,0.5570957095709571,0.6121207948632158
f_22,MLP,"{'classifier__activation': 'logistic', 'classifier__alpha': 0.001, 'classifier__early_stopping': True, 'classifier__hidden_layer_sizes': (100,), 'classifier__learning_rate': 'constant', 'classifier__max_iter': 200, 'classifier__n_iter_no_change': 5, 'classifier__random_state': 42, 'classifier__solver': 'adam', 'classifier__validation_fraction': 0.1}",0.7699017199017198,0.4489317798629499,0.779381375191586,0.5694854536825871,0.8586244645914227,0.7772682607271536,0.4591439688715953,0.7919463087248322,0.5812807881773399,0.6458530326730909
