Number of Features,accuracy,precision,recall,f1,precision_recall_auc
2,0.7460852698868697,0.4175034347146561,0.7620881506965203,0.5393945870308103,0.5228112416120819
3,0.7527024961804107,0.4238540959072063,0.7432835147481811,0.5398078072543406,0.5352296452438011
4,0.7549630941183694,0.4275940002725226,0.7536940950876995,0.5455702091559885,0.5367668246225109
5,0.7570595108951126,0.42984853168454523,0.7493311149963342,0.5461910589916023,0.5532577834227723
6,0.7562734096063473,0.4287420179706509,0.7494983362472506,0.5453825407857342,0.5749702462621149
7,0.7586322393503329,0.43164991519139634,0.7473145902656364,0.5471108846755136,0.5777411717176655
8,0.7599752021838734,0.433178865837286,0.746477074051097,0.5481204792752801,0.5792425077470832
9,0.7613509196849543,0.43452307193770007,0.7395888556764988,0.5473375806745,0.5846448421404029
10,0.763513049708535,0.4376224622687529,0.7441215949467035,0.5510846626841032,0.5928965171717377
11,0.7659042799575347,0.44080295980561346,0.7439540917037956,0.5535370713691776,0.5936225947609952
12,0.7661664031554378,0.44052419234460094,0.7338802098020416,0.5504620496530321,0.5949999490401275
13,0.7646265688863283,0.43787227448532906,0.7263236704077605,0.5462698439900204,0.6005055943682863
14,0.7650526049405029,0.438061572216876,0.7214567706277142,0.5450315362716679,0.5978587624910593
15,0.7653474184127594,0.4383591147143636,0.7209522869550505,0.5451190089945795,0.597174682996915
16,0.7673129453057153,0.44093886021010886,0.7187685409734363,0.546488359772813,0.5962899551710821
17,0.7688525863952651,0.443170476814952,0.7192718966781344,0.5483263114532752,0.5973182382384682
18,0.7700320656604445,0.4445875744236892,0.7154119902994756,0.5482830978887188,0.5985708506546794
19,0.7702612517434455,0.44455953165177553,0.7105408606395578,0.5468400909226281,0.5996484819517827
20,0.7709493787989297,0.4452683802829183,0.7068476115278326,0.5462783719646531,0.5999951449764203
21,0.77193208321832,0.4463747898170466,0.7029874231571823,0.545950002008434,0.60216507781701
22,0.7722925240798322,0.446958555107265,0.7024837854604928,0.5462531730037979,0.6020637868301474
23,0.7724235964109814,0.44678137543597113,0.698454965878969,0.5449084392777129,0.6025571219466169
24,0.772783972879307,0.447133079797961,0.6959364954035305,0.5443798250635037,0.6023186739280523
25,0.7740285751204474,0.4489283901969288,0.6950967232530596,0.5454514777193683,0.6039875301011656
26,0.7736355835031525,0.44827499009362637,0.6939196886808414,0.5446213965004151,0.6047120539111205
27,0.773046053148419,0.4470823404702804,0.6887155264790481,0.542140363496174,0.6066673985068842
28,0.7724889662274907,0.446004796237633,0.6851878066662908,0.5402464251924464,0.6067616516610466
29,0.7729148305665012,0.4465190879213782,0.684182505216852,0.5403196426522208,0.6074720461621157
30,0.7741597011125855,0.4481802934267861,0.6816648807173877,0.5407460324452429,0.6083506682689348
31,0.7739304291720023,0.4476245191126135,0.6788128137160905,0.5394393548611572,0.6090309492841459
32,0.7740286502458318,0.4478849465717384,0.6796511759066043,0.5398910755325003,0.6091011826249229
33,0.7754046360518563,0.44999204188268527,0.6803220348542103,0.541628773633688,0.6095226435303357
34,0.775306329120445,0.449760889197736,0.6796508939146129,0.541252257895183,0.6110254915736677
35,0.7736356586285368,0.4470693034127503,0.6764610005075856,0.5383036552901482,0.6109998071979256
36,0.773996002900269,0.4475745763131866,0.6764598725396199,0.5386563576688214,0.6115444695338507
37,0.7746511499120603,0.4484499555361472,0.6746119790197959,0.5387046819581676,0.6115097917816203
38,0.7753390086626009,0.44967867927544514,0.6762898313687892,0.5401233083230392,0.6103787273557427
39,0.7758958594751784,0.4504433552992785,0.6756167164852519,0.5404703298060756,0.6108008411957344
40,0.7756012284502836,0.4499794098657919,0.6749475494895945,0.5399151814142347,0.6102455431228975
41,0.7750442059225419,0.44905083721271477,0.6741072133551408,0.5389634605926307,0.6102183768739825
42,0.7756667270531661,0.4500926286714509,0.6752842479273589,0.5400987557471467,0.6102942158845002
43,0.7763217774751775,0.4510952498664986,0.6754497772263269,0.5408616861297337,0.6103155116900167
44,0.7756338221348573,0.4498549990552158,0.6729321527268626,0.539175764996745,0.6101385463427328
45,0.7759615512576205,0.4504358797636031,0.6741091872990808,0.5399704166864268,0.6102647255371406
46,0.7762235993301392,0.45092174934798396,0.6749472674976031,0.5405786104281679,0.6107134638964605
47,0.7769770532733418,0.4521655156740999,0.6759551068749647,0.5418046136482999,0.610487183058873
48,0.7769114580806795,0.4520246949066903,0.6752822739834189,0.5414946095868416,0.6110202250121157
49,0.7768133335966299,0.4518343530255888,0.6746131069877617,0.5411352269530929,0.6104856467321385
50,0.7765184771955822,0.4512208308068704,0.6727652134679376,0.5401004108302855,0.6105736452600262
51,0.776485647402658,0.4511119648579114,0.6715901528396595,0.5396393383978363,0.6106114977987022
52,0.7768460131387858,0.4517033714011521,0.6720932265523659,0.5402305538196496,0.6105980431649343
53,0.7768787785385237,0.45183635379586623,0.6736044216344257,0.5408166246784224,0.6105788964158795
54,0.7773700878194278,0.45262619118667036,0.6742752805820315,0.5415912707992374,0.6106896229678483
55,0.7771407407534603,0.45225850104704124,0.6737724888613164,0.5411701254926565,0.6106965713345769
56,0.7769769674157597,0.45196555549684636,0.6732685691726357,0.5408006974238916,0.6108664327760691
57,0.7773045462877542,0.4525456449203432,0.6742758445660144,0.5415521145531683,0.6108518851857404
58,0.77733732241969,0.45256492288939654,0.6741077773391236,0.5415042451849873,0.6108561973007599
59,0.7773373546162832,0.4525592022069735,0.6739405560882071,0.5414464752450656,0.610883820703277
60,0.7773373546162832,0.45258769278567695,0.6742761265580057,0.5415681227018563,0.6108256304253085
61,0.777501117221786,0.4528764104947479,0.6749475494895945,0.5419910115114713,0.6109296092514721
62,0.7774356186189035,0.4527642253215525,0.6747800462466866,0.5418571393759819,0.610941086320375
63,0.7774356400832991,0.45277416456797,0.6747800462466866,0.5418654165487917,0.6109502189305245
64,0.7775339040859194,0.4529367107393291,0.6749481134735774,0.5420344354496349,0.6109456847456165
65,0.7775339040859194,0.4529367107393291,0.6749481134735774,0.5420344354496349,0.6109456847456165
